#Name,l_deg,b_deg,RA_deg,Dec_deg,dRA_asec,dDec_asec,Peak_mJybm,dPeak_mJybm,Flux_mJy,dFlux_mJy,Angscale_asec,dAngscale_asec,AngscaleDecon_asec,gaussMajor_asec,dGaussMajor_asec,gaussMinor_asec,dGaussMminor_asec,gaussPosangle_deg,dGaussPosangle_deg,RMS_mJybm,Sky_mJybm,Sigma,mType,fArtefact,fCluster,fEdge,fHiNoise,fHi5Sig,fNearBright,fSmoothWeighting,fOverlap7sig,fOverlap5sig,Ratio_Integrated_to_Peak,CORNISH,Distance (kpc),Physical size
G010.3009-00.1477,10.30088,-0.1477,272.23311,-20.09871,0.14,0.14,56.37,5.04,631.39,59.3,5.452,0.007,5.2,,,,,,,0.87,0.043,64.1,P,0,1,0,1,1,0,1,0,0,11.200816,G010.3009-00.1477,2.4,0.06343684
G010.3204-00.2586,10.32042,-0.25857,272.34701,-20.13525,0.11,0.12,14.61,1.5,18.2,2.26,1.674,0.069,,1.869,0.118,1.5,0.079,175.565,8.953,0.71,-0.117,20.7,G,0,0,0,1,0,0,0,0,0,1.2457222,G010.3204-00.2586,3.5,0.028405206
G010.4724+00.0275,10.47236,0.0275,272.15907,-19.86382,0.56,0.54,22.34,2.01,38.43,4.38,2.243,0.018,1.7,,,,,,,0.41,-0.01,53.2,P,0,1,0,0,1,0,0,1,0,1.7202327,G010.4724+00.0275,11.0,0.11961797
G010.4736+00.0274,10.47363,0.02744,272.15965,-19.86267,0.9,0.93,12.3,1.14,19.3,2.39,2.028,0.025,1.4,,,,,,,0.41,-0.002,28.8,P,0,1,0,0,1,0,0,1,0,1.5691056,G010.4736+00.0274,11.0,0.108152136
G010.6218-00.3848,10.6218,-0.38476,272.61978,-19.93235,0.73,0.66,16.81,1.58,37.06,4.04,2.292,0.021,1.7,,,,,,,0.64,-0.096,25.1,P,0,1,0,1,1,0,1,1,0,2.2046402,G010.6218-00.3848,2.4,0.026668608
G010.6223-00.3788,10.62231,-0.37877,272.61473,-19.92937,0.16,0.15,97.9,8.72,483.33,49.87,5.758,0.013,5.6,,,,,,,0.61,-0.013,158.9,P,0,1,0,1,1,0,1,1,0,4.9369764,G010.6223-00.3788,2.4,0.06699731
G010.6234-00.3837,10.6234,-0.38369,272.6196,-19.93031,0.1,0.1,305.58,27.2,1952.22,176.18,4.638,0.002,4.4,,,,,,,0.64,-0.078,477.1,P,0,1,0,1,1,0,1,1,0,6.3885727,G010.6234-00.3837,2.4,0.053965535
G010.6240-00.3813,10.62398,-0.38128,272.61745,-19.92877,0.44,0.43,38.23,3.44,71.65,7.24,2.083,0.012,1.4,,,,,,,0.63,-0.051,59.6,P,0,1,0,1,1,0,1,1,0,1.8741826,G010.6240-00.3813,2.4,0.024236782
G010.6297-00.3380,10.62969,-0.33799,272.58012,-19.90292,0.24,0.34,4.98,0.71,26.39,4.29,3.453,0.31,3.1,4.124,0.552,2.892,0.346,164.642,13.199,0.55,0.025,8.5,G,0,0,0,1,1,0,1,0,0,5.2991967,G010.6297-00.3380,4.95,0.08286597
G010.9584+00.0221,10.95839,0.02206,272.4141,-19.4411,0.16,0.16,109.11,9.72,195.97,18.33,2.201,0.004,1.6,,,,,,,0.4,0.04,269.8,P,0,0,0,0,1,0,0,0,1,1.7960774,G010.9584+00.0221,13.7,0.14618912
G010.9656+00.0089,10.96557,0.00889,272.42943,-19.44128,0.54,0.52,7.86,0.74,51.75,6.1,4.883,0.03,4.6,,,,,,,0.44,-0.052,17.0,P,0,0,0,0,1,0,1,0,1,6.583969,G010.9656+00.0089,2.7,0.06391826
G011.0328+00.0274,11.03283,0.02738,272.4473,-19.37342,0.15,0.19,3.58,0.49,5.69,1.06,1.891,0.155,1.2,2.236,0.29,1.599,0.161,153.839,11.698,0.34,-0.009,9.8,G,0,0,0,0,1,0,1,0,0,1.5893855,G011.0328+00.0274,2.6,0.023836326
G011.1104-00.3985,11.11043,-0.39851,272.88328,-19.51157,0.13,0.13,51.55,4.59,305.37,28.55,8.355,0.01,8.2,,,,,,,0.38,-0.046,135.0,P,0,0,0,0,0,0,0,0,0,5.9237633,G011.1104-00.3985,16.8,0.6805032
G011.9032-00.1407,11.90321,-0.14074,273.04691,-18.69187,0.19,0.19,5.59,0.65,25.57,3.3,3.208,0.192,2.8,3.494,0.304,2.946,0.242,139.238,18.816,0.43,0.012,13.9,G,0,1,0,0,0,0,1,1,0,4.5742397,G011.9032-00.1407,4.1,0.06376651
G011.9039-00.1411,11.90393,-0.14108,273.0476,-18.6914,0.11,0.11,11.11,1.1,16.81,1.88,1.845,0.064,1.1,1.855,0.092,1.835,0.09,150.497,90.0,0.43,0.032,25.3,G,0,1,0,0,0,0,1,1,0,1.5130513,G011.9039-00.1411,4.1,0.036673695
G011.9368-00.6158,11.93677,-0.61577,273.50458,-18.88987,0.1,0.1,163.93,14.59,1155.9,105.38,5.886,0.003,5.7,,,,,,,0.35,-0.001,470.9,P,0,0,0,0,1,0,1,0,0,7.051181,G011.9368-00.6158,4.0,0.11414443
G011.9446-00.0369,11.94458,-0.03686,272.97191,-18.60485,0.11,0.12,61.58,5.48,943.58,98.5,14.64,0.014,14.6,,,,,,,0.46,-0.02,134.3,P,0,0,0,1,0,0,1,0,0,15.322832,G011.9446-00.0369,12.6,0.8943059
G012.1988-00.0345,12.1988,-0.03447,273.09839,-18.38157,0.11,0.11,19.68,1.82,62.71,5.92,2.677,0.061,2.2,2.739,0.088,2.618,0.083,9.5,22.175,0.49,0.005,39.2,G,0,0,0,1,0,0,1,0,0,3.1864836,G012.1988-00.0345,11.9,0.15444356
G012.2081-00.1019,12.20806,-0.10189,273.16539,-18.40592,0.18,0.18,72.18,6.43,207.87,19.73,2.841,0.006,2.4,,,,,,,0.48,-0.004,149.5,P,0,0,0,1,0,0,1,0,0,2.8798835,G012.2081-00.1019,13.6,0.18732022
G012.4294-00.0479,12.4294,-0.04791,273.22738,-18.18573,0.11,0.11,13.78,1.29,45.17,4.35,2.716,0.069,2.3,2.852,0.103,2.587,0.091,113.008,12.016,0.38,-0.011,40.2,G,0,0,0,0,0,0,0,0,0,3.277939,G012.4294-00.0479,13.9,0.18302862
G012.4317-01.1112,12.43168,-1.1112,274.21336,-18.69117,0.54,0.54,9.67,0.91,69.01,9.5,4.398,0.032,4.1,,,,,,,0.5,-0.026,18.4,P,0,0,0,1,1,0,0,0,0,7.1365047,G012.4317-01.1112,4.1,0.087420546
G012.8050-00.2007,12.805,-0.20067,273.55816,-17.92913,0.1,0.1,287.9,25.63,12616.4,1120.83,16.225,0.005,16.2,,,,,,,3.8,0.274,74.7,P,0,0,0,1,0,0,0,0,0,43.822163,G012.8050-00.2007,2.1,0.16518798
