Mass/mo	Teff/K	Log(L*/Lo)	R*/Ro	BCv	Mv	Log(QLyc/s-1)	tKH/1000yrs	mdot/g.s-1	vinf/cm.s-1
6	19000	3.01	3.00	-1.83	-0.95	43.33	367.1	8.42e15	1.13e8
9	22895	3.57	3.90	-2.28	-1.89	44.76	175.5	4.41e15	2.43e8
12	26743	3.96	4.50	-2.64	-2.52	46.02	107.8	5.09e16	2.60e8
15	29783	4.26	5.10	-2.88	-3.01	47.03	76.2	2.73e17	2.71e8
20	33824	4.61	6.00	-3.22	-3.56	48.00	51.8	1.63e18	2.86e8
25	36831	4.86	6.70	-3.47	-3.93	48.46	40.2	5.15e18	2.99e8
30	38670	5.02	7.30	-3.61	-4.19	48.69	36.7	9.79e18	3.11e8
35	40596	5.18	8.00	-3.75	-4.45	48.90	31.7	1.88e19	3.17e8
40	42610	5.34	8.70	-3.89	-4.71	49.09	26.3	3.64e19	3.20e8
50	44589	5.52	9.80	-4.03	-5.02	49.31	24.1	6.79e19	3.32e8
60	46647	5.70	11.0	-4.18	-5.33	49.43	20.4	1.31e20	3.34e8
70	47662	5.81	12.0	-4.25	-5.53	49.51	19.7	1.84e20	3.41e8
80	48694	5.92	13.1	-4.32	-5.74	49.58	18.2	2.64e20	3.42e8
90	49449	6.02	14.1	-4.37	-5.92	49.65	17.4	3.69e20	3.42e8
100	49913	6.09	15.0	-4.41	-6.06	49.70	17.0	4.53e20	3.45e8
110	50381	6.16	16.0	-4.44	-6.21	49.76	16.4	5.63e20	3.46e8
120	50853	6.23	17.1	-4.47	-6.36	49.81	15.5	7.07e20	3.42e8
